0; 0
0,02400; 0,02481
0,04800; 0,05639
0,07200; 0,08903
0,09600; 0,12051
0,12000; 0,15113
0,14400; 0,18170
0,16800; 0,21248
0,19200; 0,24280
0,21600; 0,27227
0,24000; 0,30098
0,26400; 0,33249
0,28800; 0,36268
0,31200; 0,39243
0,33600; 0,42122
0,36000; 0,44952
0,38400; 0,47722
0,40800; 0,50461
0,43200; 0,52993
0,45600; 0,56047
0,48000; 0,59203
0,50400; 0,61907
0,52800; 0,64490
0,55200; 0,67021
0,57600; 0,69396
0,60000; 0,71714
0,62400; 0,73979
0,64800; 0,76101
0,67200; 0,78273
0,69600; 0,80373
0,72000; 0,82375
0,74400; 0,84322
0,76800; 0,86323
0,79200; 0,88313
0,81600; 0,90258
0,84000; 0,92082
0,86400; 0,93843
0,88800; 0,95591
0,91200; 0,97410
0,93600; 0,99123
0,96000; 1,00789
0,98400; 1,02423
1,00800; 1,04140
1,03200; 1,05791
1,05600; 1,07288
1,08000; 1,08804
1,10400; 1,10434
1,12800; 1,11980
1,15200; 1,13541
1,17600; 1,15050
1,20000; 1,16545
1,22400; 1,18039
1,24800; 1,19486
1,27200; 1,20769
1,29600; 1,22059
1,32000; 1,23482
1,34400; 1,24824
1,36800; 1,26255
