0,57000; 0,15946
0,64000; 0,31489
0,71000; 0,44839
0,78000; 0,56453
0,85000; 0,66783
0,92000; 0,76187
0,99000; 0,83411
1,06000; 0,88162
1,13000; 0,92117
1,20000; 0,95716
1,27000; 0,98892
1,34000; 1,01693
1,41000; 1,04260
1,48000; 1,06588
1,55000; 1,08667
1,62000; 1,10566
1,69000; 1,12267
1,76000; 1,13769
1,83000; 1,15100
1,90000; 1,16209
1,97000; 1,17093
2,04000; 1,17826
2,11000; 1,18536
2,18000; 1,19308
2,25000; 1,19980
2,32000; 1,20556
2,39000; 1,21150
2,46000; 1,21675
2,53000; 1,22098
2,60000; 1,22495
2,67000; 1,22898
2,74000; 1,23296
2,81000; 1,23730
2,88000; 1,24101
2,95000; 1,24326
3,02000; 1,24510
3,09000; 1,24673
3,16000; 1,24826
3,23000; 1,24957
3,30000; 1,25067
3,37000; 1,25172
3,44000; 1,25219
3,51000; 1,25218
3,58000; 1,25213
3,65000; 1,25213
3,72000; 1,25190
3,79000; 1,25073
3,86000; 1,24987
3,93000; 1,24939
